Nodo;Latitud;Longitud
227;-8.198185;-76.518629
228;-8.184333;-76.513198
229;-8.185213;-76.513528
230;-8.186121;-76.513853
231;-8.186535;-76.514004
232;-8.186994;-76.514171
233;-8.187791;-76.514446
234;-8.188345;-76.514644
235;-8.189196;-76.514926
236;-8.190217;-76.515313
237;-8.190371;-76.51537
238;-8.19141;-76.515689
239;-8.19202;-76.515878
240;-8.192668;-76.516075
241;-8.193269;-76.516253
242;-8.193885;-76.51644
243;-8.193591;-76.517266
244;-8.194488;-76.516632
245;-8.195085;-76.516791
246;-8.195765;-76.517004
247;-8.196682;-76.517279
248;-8.197565;-76.517522
249;-8.198406;-76.517778
250;-8.184598;-76.51222
251;-8.185545;-76.512563
252;-8.186392;-76.512915
253;-8.187303;-76.513249
254;-8.18805;-76.513545
255;-8.188625;-76.513744
256;-8.18944;-76.514032
257;-8.19051;-76.514434
258;-8.190661;-76.514497
259;-8.191621;-76.514822
260;-8.192318;-76.515043
261;-8.192894;-76.515183
262;-8.193532;-76.51537
263;-8.194162;-76.51555
264;-8.194742;-76.515735
265;-8.195372;-76.515929
266;-8.196024;-76.516107
267;-8.196937;-76.51641
268;-8.197821;-76.516673
269;-8.19824;-76.51682
270;-8.185091;-76.511207
271;-8.185827;-76.511591
272;-8.186715;-76.51198
273;-8.187616;-76.512334
274;-8.18836;-76.512646
275;-8.188901;-76.512839
276;-8.189712;-76.513187
277;-8.190767;-76.513609
278;-8.190925;-76.513601
279;-8.19195;-76.513921
280;-8.192566;-76.514107
281;-8.193191;-76.514293
282;-8.193816;-76.514483
283;-8.194413;-76.514669
284;-8.194735;-76.514785
285;-8.194992;-76.514896
286;-8.195659;-76.515082
287;-8.196284;-76.515263
288;-8.196587;-76.515333
289;-8.197221;-76.515514
290;-8.198099;-76.515806
291;-8.198559;-76.515941
292;-8.185308;-76.510371
293;-8.186137;-76.510702
294;-8.18698;-76.511037
295;-8.187872;-76.511371
296;-8.188615;-76.51168
297;-8.189152;-76.511905
298;-8.190031;-76.51228
299;-8.19109;-76.51269
300;-8.192205;-76.513141
301;-8.192811;-76.51334
302;-8.193464;-76.513565
303;-8.194066;-76.513723
304;-8.194842;-76.51393
305;-8.195755;-76.514171
306;-8.196711;-76.514447
307;-8.197435;-76.514721
308;-8.186431;-76.509766
309;-8.187269;-76.510122
310;-8.188136;-76.510471
311;-8.188891;-76.510798
312;-8.189431;-76.511029
313;-8.190306;-76.511389
314;-8.191339;-76.51186
315;-8.191444;-76.511918
316;-8.192462;-76.512302
317;-8.193062;-76.512519
318;-8.193707;-76.512715
319;-8.194323;-76.512905
320;-8.194926;-76.51308
321;-8.195948;-76.513431
322;-8.196264;-76.513525
323;-8.196816;-76.513678
324;-8.186869;-76.509069
325;-8.187511;-76.509367
326;-8.188397;-76.509689
327;-8.189108;-76.510028
328;-8.189669;-76.510244
329;-8.190392;-76.510539
330;-8.190569;-76.510608
331;-8.191621;-76.510962
332;-8.191748;-76.510962
333;-8.192876;-76.510944
334;-8.192757;-76.511431
335;-8.193343;-76.511624
336;-8.194002;-76.511828
337;-8.194615;-76.512029
338;-8.195087;-76.512166
339;-8.195239;-76.512198
340;-8.196094;-76.512504
341;-8.19693;-76.512745
342;-8.197896;-76.513043
343;-8.187106;-76.508512
344;-8.18769;-76.508598
345;-8.188612;-76.508845
346;-8.189363;-76.50916
347;-8.189908;-76.509394
348;-8.189928;-76.508858
349;8.190847;-76.5096
350;-8.19186;-76.510099
351;-8.191997;-76.51013
352;-8.193062;-76.510388
353;-8.194201;-76.510957
354;-8.192852;-76.510967
355;-8.194213;-76.510955
356;-8.195497;-76.510963
357;-8.196464;-76.510967
358;-8.197338;-76.51098
359;-8.198331;-76.510977
360;-8.198853;-76.510988
361;-8.198735;-76.51223
362;-8.200073;-76.513778
363;-8.191189;-76.512749
364;-8.191698;-76.51108
365;-8.192874;-76.511082
366;-8.194199;-76.511089
367;-8.194819;-76.511091
368;-8.195505;-76.511106
369;-8.196476;-76.511098
370;-8.197331;-76.511078
371;-8.198312;-76.511104
372;-8.198848;-76.511111
373;-8.200106;-76.511174
374;-8.200091;-76.511018
375;-8.194835;-76.510942
376;-8.193886;-76.510587
377;-8.200456;-76.512931
378;-8.201208;-76.513157
379;-8.201536;-76.512276
380;-8.202168;-76.513463
381;-8.202426;-76.513982
382;-8.204934;-76.514225
383;-8.199616;-76.512412
384;-8.198098;-76.512085
385;-8.202227;-76.520761
386;-8.203999;-76.521277
387;-8.202167;-76.523492
388;-8.203489;-76.523872
389;-8.203579;-76.525859
390;-8.205336;-76.525981
391;-8.205516;-76.523978
392;-8.205366;-76.526602
393;-8.20617;-76.525971
